dose1,rgr1
0,0.649297642
0,0.652652542
0,0.649703292
0,0.648224628
0,0.646023399
0,0.645883477
0,0.649254387
0,0.643761281
0.36072,0.644775871
0.9018,0.622680536
2.7054,0.562994526
5.4108,0.496809531
14.4288,0.417300758
36.072,0.343175157
90.18,0.270650266
0.36072,0.64561251
0.9018,0.60819605
2.7054,0.551168891
5.4108,0.454957447
14.4288,0.331034831
36.072,0.2568863
90.18,0.169403797
0.36072,0.629871061
0.9018,0.598206601
2.7054,0.522495303
5.4108,0.418652629
14.4288,0.312536568
36.072,0.239606959
90.18,0.152782307
0.36072,0.628230467
0.9018,0.58922191
2.7054,0.502034798
5.4108,0.411539999
14.4288,0.309073345
36.072,0.226016527
90.18,0.141772737
0.36072,0.624691684
0.9018,0.582774171
2.7054,0.485264568
5.4108,0.406735375
14.4288,0.307989108
36.072,0.221437798
90.18,0.135348941
0.36072,0.627370334
0.9018,0.582208167
2.7054,0.474243095
5.4108,0.398464454
14.4288,0.305464928
36.072,0.189824592
90.18,0.128521745
0.36072,0.625723143
0.9018,0.582926514
2.7054,0.459269324
5.4108,0.396610153
14.4288,0.314611249
36.072,0.200608825
90.18,0.120232055
